date,riseStart,riseEnd,stableStart,stableEnd,start,end
20160626,83,112,868,1157,2451,4187
20160626,67,96,883,1178,4373,6140
20160626,701,730,1156,1541,10613,12925
20160626,88,117,840,1120,16694,18374
20160626,105,134,937,1249,18692,20566
20160626,113,142,853,1137,24101,25807
20160626,86,115,902,1202,26034,27838
20160626,142,171,1116,1488,32082,34315
20160626,130,159,1038,1384,50880,52957
20160626,230,259,984,1312,54291,56259
20160626,88,117,926,1234,58952,60804
20160626,146,175,936,1248,63360,65233
20160626,103,132,898,1198,65522,67319
20160626,87,116,982,1310,67695,69660
20160626,61,90,804,1072,73562,75170
20160626,65,94,848,1131,75342,77039
20160626,99,128,846,1128,80197,81890
20160626,107,136,930,1240,82059,83919
