tag,稳定段总推进力,稳定段刀盘扭矩,稳定段推进速度
0,15126.535880253232,2980.938546437231,72.03053946659483
1,16665.627075195312,3102.3753538389465,72.73435190561655
2,13632.661461706606,2612.061998436488,62.15596538010039
3,14893.409374304938,3211.3819184761455,72.33280103147241
4,17384.499347918332,3104.4984360959966,69.40028610473243
5,15100.255311129386,3090.5810709635416,73.15883018092106
6,15483.457482220723,2885.421034702035,73.47093185475498
7,15234.266907883713,2585.816533883839,67.25122397578754
8,16894.523718930115,3168.013596592444,64.07761420434078
9,17796.66754725494,3192.6440511315063,64.73174807655775
10,15886.555022502023,2973.8001230974414,68.67181337226941
11,16263.686978958665,2829.1463650346946,66.82210026457668
12,15539.807451723422,2978.337554019155,70.52990519881645
13,15359.85841624715,2739.118401524506,68.16974526263297
14,14733.418502410548,2485.7783983648933,76.6332789991868
15,16041.675905039612,2911.114509689976,72.20145727882922
16,16086.242553279593,3016.4076415152936,71.03472490613957
17,16736.776329506632,2988.155339379019,66.78030012811494
