tag,上升段撑靴压力,上升段刀盘转速,上升段刀盘刹车压力,上升段刀盘扭矩,上升段刀盘功率,上升段推进压力,上升段贯入度,上升段总推进力,上升段推进速度,上升段推进位移,上升段主机皮带机转速,上升段桥架皮带机转速,上升段转渣皮带机转速
0,303.5771141,7.010126591,44.95551205,1174.483643,865.375,164.0353756,3.892271072,12883.33838,27.2853241,135.8679657,3.351029873,2.671455771,2.755738378
0,303.3980789,7.009332657,44.92106104,1203.635269,886.8125,166.952404,4.108960271,13112.44177,28.80116272,136.4076958,3.351029873,2.671370536,2.755581796
0,303.2624435,7.008836567,44.88498211,1234.365479,910.4375,169.7319889,4.187894762,13330.75049,29.35235596,136.9244614,3.351029873,2.671370536,2.755402833
0,303.0978737,7.008538902,44.84890366,1279.934586,943.25,172.0468025,4.247047156,13512.55591,29.76571655,137.4527092,3.351029873,2.671427369,2.754306704
0,302.9622383,7.008141935,44.8128252,1315.400635,968.625,172.2276478,4.384931207,13526.75952,30.73031616,138.0268936,3.351029873,2.671484202,2.754373819
0,302.8266068,7.008141935,44.7740345,1335.396332,982.625,174.1265182,4.542209566,13675.89685,31.83274841,138.589592,3.351029873,2.671597868,2.754217237
0,302.768734,7.007645667,44.73578548,1360.022614,1001,174.6889458,4.562207699,13720.06995,31.97053528,139.1522865,3.350226909,2.671484262,2.754105419
0,302.7488441,7.007447183,44.70133448,1389.805695,1023.3125,175.2242451,4.621393263,13762.11243,32.38398743,139.7035065,3.350226909,2.671512663,2.754217237
0,302.6692734,7.006951034,44.66715527,1422.535492,1047.375,177.6783104,4.680681586,13954.85474,32.79734802,140.266201,3.350226909,2.671455801,2.752964497
0,302.591507,7.006951153,44.63080549,1439.058228,1059.1875,177.2081146,4.720022976,13917.92554,33.07292175,140.817421,3.35019663,2.671597868,2.753188223
0,302.4160881,7.00675261,44.59798241,1456.001984,1071,177.8555393,4.779177606,13968.77417,33.4863739,141.3916054,3.35019663,2.671597868,2.753367186
0,302.2822647,7.00615716,44.56244659,1490.31041,1096.8125,178.7868919,4.877934575,14041.92261,34.175354,141.9542999,3.35019663,2.671541035,2.754687011
0,302.0525932,7.005760252,44.52609682,1532.9328,1129.1875,178.6964684,4.956911683,14034.82068,34.72650146,142.5169983,3.35019663,2.671512634,2.753232956
0,301.8663216,7.005263925,44.4938159,1571.97699,1158.5,179.9442978,5.035971045,14132.8252,35.2776947,143.1371155,3.35019663,2.671541005,2.754575193
0,301.68367,7.004767835,44.46207809,1601.444305,1179.9375,181.9643364,5.193737566,14291.479,36.38012695,143.7572327,3.350742042,2.671512574,2.754731774
0,301.5498428,7.004370809,44.43088198,1638.594162,1207.0625,182.5792103,5.370974362,14339.77112,37.62030029,144.4347649,3.350742042,2.671484172,2.75466466
0,301.4793091,7.004172385,44.39724398,1668.166748,1228.9375,182.6316547,5.469476819,14343.89014,38.86056519,145.1008148,3.350742042,2.67162624,2.756006867
0,301.4937782,7.004469991,44.36740398,1699.212692,1252.125,183.1669559,5.587293267,14385.93274,39.68746948,145.7324142,3.350772321,2.671569407,2.75453043
0,301.5860062,7.004668415,44.33647966,1717.208786,1266.125,185.91399,5.626498818,14601.68481,39.96299744,146.3410416,3.350772321,2.671541005,2.755850285
0,301.6800423,7.004469931,44.30935287,1736.257278,1280.125,186.9719315,5.587293327,14684.77563,39.68746948,147.0070953,3.349802703,2.671512634,2.755693704
0,301.8554611,7.005164504,44.28276873,1765.935059,1301.5625,189.9124699,5.586738348,14915.72559,39.68751526,147.6731491,3.349802703,2.67145583,2.755783141
0,302.0326881,7.005462289,44.25320053,1790.456085,1319.0625,190.020977,5.527492285,14924.2478,39.27410889,148.3277206,3.349802703,2.671427459,2.754485667
