上升段撑靴压力均值,上升段撑靴压力方差,上升段刀盘转速均值,上升段刀盘转速方差,上升段刀盘刹车压力均值,上升段刀盘刹车压力方差,上升段刀盘扭矩均值,上升段刀盘扭矩方差,上升段刀盘功率均值,上升段刀盘功率方差,上升段推进压力均值,上升段推进压力方差,上升段贯入度均值,上升段贯入度方差,上升段总推进力均值,上升段总推进力方差,上升段推进速度均值,上升段推进速度方差,上升段推进位移均值,上升段推进位移方差,上升段主机皮带机转速均值,上升段主机皮带机转速方差,上升段桥架皮带机转速均值,上升段桥架皮带机转速方差,上升段转渣皮带机转速均值,上升段转渣皮带机转速方差,稳定段总推进力均值,稳定段刀盘扭矩均值,稳定段推进速度均值
232.1262538,0.063381355,6.807200607,8.05E-06,48.7162178,0.001516045,538.1015381,24784.10573,384.4166667,12702.89799,100.8043981,64.0070724,4.016591652,0.530597357,7917.177572,394829.6864,27.2300415,25.32540811,58.80884094,17.27941121,3.244746681,0.140103893,2.679171101,2.01E-06,2.757960637,3.11E-05,10639.14884,1725.436073,77.25684142
233.0517003,0.015585543,6.796771797,3.52E-07,46.84317156,0.157400548,794.8041239,15454.35472,566.8833333,7938.408333,104.1936724,36.47338795,5.741867153,1.12445459,8183.371159,224987.2902,39.02598877,51.93305816,92.84637756,35.73999537,2.987634015,0.398199711,2.679746882,9.59E-08,2.756654119,3.05E-05,8664.038673,1482.431521,70.53069013
290.6539378,2.26225175,6.818210967,9.18E-06,44.80410868,0.001150351,553.8735825,38676.64464,396.6666667,20121.54023,99.1782402,103.2803772,4.06906898,0.736390773,7789.459049,637088.2943,27.74451904,34.28830097,118.2451558,20.7274562,3.320086662,0.027820253,2.68014075,1.06E-07,2.757489332,3.20E-05,10328.14269,1703.152673,75.12926338
233.0020259,0.02079192,6.833296108,1.55E-05,50.93894679,0.001301211,1377.752144,23251.94599,990.0333333,11780.8954,109.292053,53.8070031,9.938289388,1.148018097,8583.797965,331910.2208,67.90964355,53.27480423,127.2881429,167.7198174,3.327714483,0.000161818,2.679428736,2.75E-07,2.756003857,3.90E-05,8958.520298,1527.754884,72.39854805
233.3145259,0.498205806,6.021643289,7.83E-06,47.42086233,0.141259323,1458.661027,28765.37452,922.0166667,11557.81868,114.8230123,37.24026043,10.42944762,1.750570052,9018.199512,229717.6905,62.80179443,63.32315096,142.7926086,92.34349715,3.19177684,0.00030158,2.680724041,2.15E-07,2.757542992,3.06E-05,10956.99831,2022.794261,71.16284951
231.6377324,0.033970838,6.846238867,1.08E-05,48.28558985,0.00436073,2231.126107,4769.799051,1605.333333,2371.712644,155.1022385,46.12019533,10.21451429,1.213179315,12181.72995,284493.8674,69.93081055,56.71794765,423.6643616,106.7484617,3.27991186,0.000151495,2.620236119,1.66E-07,2.75511504,2.97E-05,11905.40306,2311.971738,70.86238054
233.5652964,0.060895661,6.566195122,6.68E-06,48.16630465,0.000632827,1323.0271,38182.36174,912.3333333,18349.93678,128.2860713,69.54836263,6.110702578,6.906377335,10075.58812,429011.2797,40.12840576,298.024264,104.4463989,46.91120875,3.347203906,3.98E-05,2.677565169,7.90E-06,2.758282725,3.10E-05,11577.83937,2155.202765,71.87259214
233.6636739,0.139774234,6.743389781,7.95E-06,45.97677981,0.004941822,1335.431462,133259.5048,945.7,67075.42414,126.2639857,86.57182423,7.492766309,3.768406386,9916.773519,534021.2138,50.52803955,171.4154564,149.5541789,68.04539679,3.34806447,2.72E-05,2.679754448,1.52E-07,2.756672017,3.16E-05,9609.269857,1849.198999,69.94178025
242.5617299,0.047763733,5.427872451,1.01E-05,49.10604769,0.035344689,1183.071309,44050.98264,675.7333333,14367.92644,88.60966339,18.94118625,10.31143681,1.622865451,6959.403027,116839.3047,55.96671143,47.5820203,188.7670197,138.7911619,3.041832193,0.00145342,2.679156017,1.99E-07,2.758056084,3.26E-05,8742.208364,1847.70402,66.56820194
289.5746511,0.253216463,6.553558588,1.92E-05,50.78168373,0.029121388,1342.138731,189926.8952,924.2333333,90038.28851,119.7120951,127.1860404,6.987740866,3.033344547,9402.187956,784551.0632,45.78762207,129.6435021,60.26342977,52.23004317,3.31129144,0.00031927,2.679315098,1.36E-07,2.757298398,3.27E-05,11742.64755,2528.482294,70.46463233
