date,riseStart,riseEnd,stableStart,stableEnd,start,end
20160104,591,620,718.0,724.0,72359,74276
20170317,6,35,109.0,109.0,640,2578
20170317,1032,1061,2013.0,2030.0,19017,21308
20170317,32,61,491.0,532.0,25125,27599
20170317,6,35,79.0,87.0,38775,42886
20170303,537,566,698.0,716.0,4573,5480
20170303,8,37,65.0,67.0,5893,6890
20170303,13,42,164.0,168.0,9983,11528
20170303,180,209,2613.0,2641.0,56807,59605
20161226,262,291,1222.0,1233.0,4931,6544
20161226,538,567,603.0,625.0,11316,13212
20161226,215,244,1528.0,1532.0,14272,15989
20161226,513,542,1036.0,1043.0,16188,17856
20161226,9,38,176.0,178.0,18140,19885
20161226,5,34,661.0,686.0,31942,33556
20161226,2260,2289,2508.0,2528.0,53005,55978
20161226,985,1014,1444.0,1464.0,65975,67533
20161226,32,61,222.0,235.0,76495,78147
20161226,151,180,1154.0,1156.0,83353,84935
20171021,20,49,121.0,129.0,481,2057
20171021,376,405,995.0,999.0,6821,8527
20171021,589,618,1396.0,1419.0,16965,19223
20171021,4,33,125.0,127.0,22117,23724
20171021,196,225,1490.0,1519.0,24055,25742
20171021,7,36,87.0,87.0,40800,42314
20171021,10,39,103.0,456.0,48482,50141
20171021,77,106,148.0,1508.0,50868,52587
20171021,8,37,90.0,102.0,68705,70208
20171021,3,32,933.0,943.0,74010,75573
20171021,7,36,123.0,136.0,75789,77327
20170115,30,59,253.0,256.0,50916,52590
20170101,27,56,1400.0,1411.0,30261,32018
20170101,228,257,342.0,347.0,41330,43139
20170101,133,162,225.0,264.0,52045,53874
20170101,325,354,564.0,1275.0,63168,65041
20170101,49,78,194.0,196.0,74836,76665
20170101,401,430,1468.0,1470.0,78951,81114
20170129,528,557,1212.0,1329.0,7339,9011
20170129,1199,1228,1347.0,1351.0,12489,14244
20170129,61,90,868.0,870.0,17826,19391
20170129,126,155,1319.0,1333.0,31673,33397
20170129,403,432,954.0,967.0,40487,42068
20170129,1233,1262,1663.0,1664.0,48169,49942
20170129,5,34,488.0,490.0,50495,52286
20170129,20,49,434.0,447.0,55442,57214
20170707,717,746,1380.0,1382.0,40719,42520
20170707,1186,1215,1230.0,1685.0,43615,45500
20170707,6,35,179.0,184.0,47715,49320
20160514,403,432,444.0,1399.0,5443,7295
20160514,541,570,1508.0,1586.0,10571,12296
20160514,221,250,747.0,764.0,12623,14215
20160514,382,411,1046.0,1066.0,20050,21632
20160514,112,141,148.0,153.0,24912,26657
20160514,164,193,938.0,940.0,38028,40101
20160514,4,33,119.0,1591.0,41422,43402
20160514,312,341,910.0,1786.0,43683,45615
20160514,741,770,1110.0,1798.0,50814,52926
20160514,713,742,1587.0,1614.0,53263,55325
20160514,94,123,140.0,1851.0,64354,66432
20160514,1076,1105,1682.0,1686.0,66693,68866
20160514,529,558,598.0,600.0,84180,85990
20170713,56,85,372.0,794.0,7745,9273
20170713,905,934,1172.0,1172.0,17462,18990
20170713,6,35,300.0,304.0,53014,54274
20160528,48,77,105.0,109.0,15081,17251
20160528,4,33,244.0,1381.0,25153,26959
20160528,919,948,1354.0,1366.0,41106,42802
20160528,111,140,1403.0,1416.0,52620,54425
20160528,10,39,944.0,979.0,67556,69464
20160528,6,35,252.0,254.0,81966,83880
20170908,900,929,1496.0,1496.0,58428,60150
20170908,68,97,155.0,161.0,74908,76523
20170920,286,315,1389.0,1391.0,2607,4238
20170920,11,40,141.0,334.0,4463,6016
20170920,4,33,182.0,547.0,14469,16399
20170920,4,33,1065.0,1083.0,17128,18778
20170920,1110,1139,1601.0,1606.0,19338,21163
20170920,7,36,128.0,196.0,21475,23451
20170920,121,150,514.0,514.0,26922,28620
20170920,622,651,1059.0,1162.0,50218,51759
20170920,976,1005,1740.0,1746.0,61053,63292
20170920,46,75,188.0,209.0,71468,73307
20170920,7,36,46.0,172.0,74755,77092
20170920,108,137,1782.0,1805.0,77672,80047
20160716,150,179,3121.0,3345.0,2078,5653
20160716,295,324,2516.0,2518.0,15810,20015
20160716,1180,1209,2138.0,2147.0,22296,24672
20160716,528,557,1671.0,1803.0,24840,26864
20160716,905,934,1300.0,1681.0,40246,42365
20160716,475,504,1422.0,1422.0,54129,56044
20160716,307,336,1214.0,1220.0,62499,64074
20160716,387,416,1350.0,1356.0,64231,65964
20160716,184,213,927.0,930.0,74911,76720
20160716,39,68,700.0,726.0,76920,78849
20160716,17,46,849.0,853.0,80007,81660
20160702,441,470,1396.0,1398.0,43463,44999
20160702,7,36,407.0,414.0,45264,46709
20160702,777,806,1807.0,1809.0,48053,50014
20160702,5,34,179.0,192.0,72519,74107
20160702,166,195,1183.0,1185.0,74306,75868
20150819,673,702,817.0,838.0,18139,19852
20150819,1252,1281,1487.0,1489.0,26560,28206
20150819,333,362,1261.0,1289.0,46750,48407
20150819,481,510,873.0,882.0,51106,52688
20150819,269,298,614.0,623.0,57162,58742
20150819,230,259,1486.0,1489.0,63716,65484
20150819,28,57,942.0,1183.0,66688,68366
20150819,43,72,157.0,273.0,70921,72431
20150831,16,45,483.0,912.0,69752,71622
20150825,712,741,1636.0,1639.0,67794,69723
20150824,314,343,798.0,805.0,13175,14949
20150824,18,47,246.0,409.0,25086,27056
20150824,663,692,1467.0,1469.0,53450,55823
20150824,6,35,241.0,244.0,64585,66328
20150824,415,444,1545.0,1564.0,71859,73835
20150824,28,57,1300.0,1317.0,74253,76168
20150830,259,288,972.0,1307.0,33436,35069
20150830,57,86,295.0,306.0,51957,53702
20150830,320,349,1341.0,1344.0,54082,55851
20150830,548,577,744.0,1551.0,61719,63378
20150830,8,37,1357.0,1362.0,63698,65196
20150830,401,430,877.0,1831.0,69874,71843
20150830,705,734,1508.0,1515.0,72364,74044
20150818,11,40,1200.0,1202.0,57201,58795
20150818,163,192,290.0,300.0,67786,69452
20150818,416,445,452.0,454.0,73204,75041
20160703,26,55,803.0,806.0,3501,4700
20160703,43,72,195.0,204.0,5912,7116
20160703,42,71,268.0,270.0,18140,19951
20160703,200,229,1043.0,1683.0,20261,22103
20160703,161,190,1402.0,1426.0,22740,24450
20160703,13,42,107.0,245.0,39056,40900
20160703,184,213,1560.0,1563.0,42231,43944
20160703,1579,1608,1631.0,1633.0,53499,55299
20160703,700,729,1447.0,1474.0,65602,67482
20160703,190,219,614.0,1622.0,67721,69553
20160717,31,60,217.0,221.0,1154,2869
20160717,575,604,865.0,868.0,8616,10208
20160717,109,138,706.0,710.0,10426,12000
20160717,76,105,248.0,287.0,12195,13818
20160717,639,668,771.0,773.0,20164,21762
20160717,612,641,655.0,659.0,24553,26252
20160717,22,51,1469.0,1577.0,28428,30409
20160717,24,53,53.0,56.0,69709,71907
20160717,85,114,218.0,227.0,72966,74672
20160717,35,64,105.0,109.0,79689,81691
20160717,97,126,1158.0,1369.0,82068,83870
20170921,1928,1957,3071.0,3082.0,5415,8740
20170921,851,880,1872.0,1925.0,9094,11640
20170921,573,602,2470.0,2489.0,56315,59077
20170921,129,158,1296.0,1300.0,73590,75806
20170921,264,293,298.0,2903.0,76196,79520
20160529,1,30,620.0,630.0,2783,4666
20160529,291,320,1315.0,1315.0,41042,42755
20160529,429,458,1288.0,1290.0,49028,50714
20160529,26,55,222.0,234.0,53100,54862
20160529,54,83,1654.0,1697.0,81086,82949
20160529,37,66,1710.0,1712.0,83181,85124
20160501,555,584,1870.0,1873.0,64569,66595
20160501,173,202,441.0,1387.0,66844,68795
20160501,5,34,853.0,873.0,80766,82346
20170712,39,68,162.0,169.0,45872,47566
20170712,508,537,945.0,948.0,77149,78945
20160515,5,34,154.0,438.0,7900,9850
20160515,9,38,69.0,158.0,23131,24629
20160515,209,238,365.0,384.0,43016,44818
20160515,687,716,1144.0,1188.0,45146,47000
20160515,706,735,809.0,811.0,48553,50261
20160515,803,832,839.0,1174.0,58570,60228
20160515,480,509,1128.0,1130.0,60666,62407
20160515,1969,1998,2014.0,2303.0,68034,70475
20160515,1318,1347,1406.0,1946.0,74098,76452
20171222,74,103,1167.0,1172.0,8970,10929
20171222,1222,1251,1736.0,1738.0,19398,21655
20170114,5,34,908.0,1290.0,5728,7392
20170114,136,165,1140.0,1772.0,12002,13918
20170114,359,388,456.0,459.0,19017,20665
20171020,5,34,869.0,871.0,3658,5190
20171020,9,38,73.0,881.0,11157,12702
20171020,8,37,1019.0,1031.0,19414,20978
20171020,49,78,98.0,919.0,21453,23044
20171020,88,117,854.0,864.0,62395,63917
20161227,297,326,1158.0,1364.0,2796,4309
20161227,915,944,1157.0,1159.0,4509,6019
