date,riseStart,riseEnd,stableStart,stableEnd,start,end
20160529,80,109,941,1255,2783,4666
20160529,334,363,866,1155,6127,7860
20160529,80,109,843,1124,49028,50714
20160529,96,125,881,1174,53100,54862
20160529,324,353,878,1170,56233,57989
20160529,144,173,931,1242,81086,82949
20160529,135,164,971,1295,83181,85124
20150823,46,75,1342,1790,2450,5135
20150823,28,57,717,956,8680,10115
20150823,195,224,746,995,11190,12683
20150823,233,262,1118,1490,30344,32580
20150823,416,445,1212,1616,32888,35313
20150823,180,209,1129,1506,35650,37909
20150823,195,224,1140,1520,40616,42896
20150823,347,376,1079,1438,43772,45930
20150823,222,251,808,1078,46513,48130
20150823,146,175,1307,1743,55890,58505
20150823,278,307,1219,1625,63303,65741
20150823,167,196,1274,1699,66332,68881
20150823,174,203,1001,1334,77338,79340
20170730,79,108,820,1093,1186,2826
20170730,101,130,790,1054,9099,10680
20170730,134,163,780,1040,10924,12484
20170730,108,137,809,1078,12919,14537
20170730,157,186,816,1088,19095,20727
20170730,100,129,785,1047,20948,22519
20170730,100,129,827,1103,22952,24607
20170730,65,94,920,1227,31674,33515
20170730,748,777,1562,2082,50135,53259
20170730,137,166,791,1054,54707,56289
20170730,99,128,798,1064,56524,58120
20170730,87,116,802,1069,58342,59946
20170730,112,141,815,1086,63214,64844
20170730,84,113,799,1065,65054,66652
20170730,164,193,825,1100,72028,73679
20170730,145,174,817,1090,78531,80166
20161220,170,199,1109,1478,29900,32118
20161220,51,80,1031,1374,44007,46069
20161220,73,102,927,1236,53266,55120
20161220,162,191,732,976,71405,72870
20161220,395,424,948,1264,74638,76534
20161220,247,276,814,1085,79258,80886
20161220,173,202,687,916,84116,85491
20170305,82,111,451,602,668,1571
20170305,64,93,486,648,3213,4186
20170305,336,365,478,637,4663,5619
20170305,57,86,464,618,5722,6650
20170305,82,111,501,668,7013,8015
20170305,62,91,611,814,9415,10637
20170305,65,94,642,856,12596,13880
20170305,52,81,615,820,14083,15313
20170305,747,776,865,1154,22692,24423
20170305,195,224,589,785,25411,26589
20170305,152,181,680,906,26724,28084
20170305,66,95,859,1146,32150,33869
20170305,113,142,756,1008,34292,35804
20170305,123,152,792,1056,36061,37645
20170305,140,169,835,1113,37949,39619
20170305,147,176,1248,1664,47778,50275
20170305,125,154,1177,1569,52919,55273
20170305,155,184,1077,1436,62625,64780
20170416,92,121,670,893,16314,17654
20170416,134,163,813,1084,29579,31205
20170416,104,133,819,1092,42117,43755
20170416,162,191,783,1044,44097,45663
20170416,150,179,899,1199,47027,48826
20180114,66,95,1088,1450,12467,14643
20180114,113,142,935,1246,23019,24889
20180114,53,82,1051,1402,40267,42370
20180114,94,123,1211,1614,42661,45083
20180114,123,152,1161,1548,46327,48649
20170216,128,157,1611,2148,5621,8844
20170216,141,170,1263,1684,10927,13454
20170216,136,165,1154,1538,13709,16017
20170216,88,117,1174,1565,16396,18744
20170216,125,154,1252,1669,38984,41488
20170216,162,191,1332,1776,43228,45892
20170216,114,143,1458,1944,48567,51484
20170216,111,140,1569,2092,61549,64687
20170216,126,155,1368,1824,64901,67638
20160109,157,186,889,1186,58933,60712
20160109,175,204,888,1184,62049,63825
20160109,122,151,887,1182,65218,66992
20160808,106,135,1084,1446,5200,7369
20160808,160,189,1036,1381,7535,9607
20160808,156,185,1042,1389,10850,12934
20160808,105,134,1128,1504,15915,18171
20160808,152,181,1009,1345,47652,49670
20160808,156,185,993,1324,50018,52004
20160808,121,150,977,1302,59441,61395
20160808,149,178,1006,1342,61591,63604
20160808,170,199,922,1230,64751,66596
20160808,85,114,854,1138,66860,68568
20160808,311,340,953,1271,68762,70669
20160808,140,169,939,1252,74529,76407
20160808,101,130,875,1166,76644,78394
20160808,121,150,985,1313,79552,81522
20161228,70,99,638,851,1357,2634
20161228,199,228,666,888,2968,4301
20161228,76,105,664,885,5583,6911
20161228,96,125,706,942,7102,8515
20161228,145,174,663,884,9568,10894
20161228,122,151,680,906,11097,12457
20161228,134,163,664,885,12601,13929
20161228,79,108,699,932,14860,16259
20161228,88,117,696,928,16486,17878
20161228,166,195,718,958,22121,23558
20161228,202,231,723,964,23710,25157
20161228,73,102,718,958,60613,62050
20161228,87,116,639,852,62245,63524
20161228,108,137,755,1006,67638,69148
20161228,96,125,744,992,69780,71268
20161228,516,545,1463,1950,71791,74717
20161228,81,110,749,999,78198,79697
20161228,66,95,753,1004,81564,83070
20161228,86,115,723,964,83896,85342
20160415,85,114,985,1313,36192,38162
20160415,357,386,1053,1404,56887,58993
20170130,134,163,898,1197,0,1796
20170130,116,145,896,1195,2800,4593
20170130,138,167,885,1180,4898,6669
20170130,143,172,832,1110,6935,8600
20170130,104,133,844,1126,9427,11116
20170130,216,245,884,1179,14386,16155
20170130,180,209,912,1216,55795,57620
20170130,111,140,814,1085,57908,59536
20170130,112,141,893,1191,62920,64707
20170130,116,145,1049,1398,65090,67188
20170130,199,228,953,1270,67443,69349
20170130,112,141,824,1099,72571,74220
20170130,132,161,779,1039,74451,76010
20170130,77,106,779,1038,76328,77886
20170130,194,223,797,1062,78831,80425
20170130,124,153,805,1074,81086,82697
20170130,100,129,888,1184,82994,84771
20160731,32,61,815,1086,1851,3481
20160731,100,129,782,1042,4175,5739
20160731,134,163,704,939,8967,10376
20160731,80,109,756,1008,11124,12637
20160731,168,197,865,1154,13502,15233
20160731,128,157,1075,1433,18942,21092
20160731,193,222,914,1218,21274,23102
20160731,123,152,776,1035,25120,26673
20160731,80,109,877,1170,29229,30984
20160731,41,70,1135,1513,37335,39605
20160731,145,174,853,1137,40012,41718
20160731,76,105,722,962,41904,43348
20160731,62,91,890,1186,43509,45289
20160731,165,194,1019,1359,47232,49271
20160731,115,144,1260,1680,49533,52054
20160731,132,161,1016,1354,52555,54587
20160731,104,133,840,1120,54937,56618
20160731,78,107,727,970,60006,61461
20160731,93,122,777,1036,61706,63261
20160731,65,94,765,1020,66053,67583
20160731,98,127,751,1001,67796,69298
20160731,119,148,796,1062,70019,71612
20160731,102,131,704,939,80702,82111
20170221,121,150,875,1166,8442,10192
20170221,130,159,906,1208,10398,12210
20170221,135,164,843,1124,12437,14123
20170221,59,88,794,1059,29408,30997
20170221,135,164,764,1019,31193,32722
20170221,191,220,968,1291,32966,34903
20170221,101,130,778,1038,42838,44395
20170221,89,118,800,1066,44613,46213
20170221,127,156,794,1059,49072,50661
20170221,107,136,723,964,52972,54419
20170221,134,163,790,1054,54616,56197
20170221,177,206,853,1137,69468,71174
20170221,361,390,925,1233,78690,80540
20170221,87,116,783,1044,81142,82709
20170221,113,142,842,1123,83696,85381
20160117,128,157,639,852,16076,17354
20160128,103,132,870,1160,893,2634
20160128,112,141,872,1162,26845,28589
20160128,319,348,869,1159,28805,30544
20160128,271,300,847,1129,35433,37127
20160128,102,131,891,1188,73782,75564
20160128,117,146,878,1170,75836,77592
20160513,130,159,1013,1351,59104,61131
20160513,11,40,881,1175,63784,65547
20160513,108,137,788,1051,66355,67932
20160513,87,116,813,1084,76088,77714
20160513,19,48,834,1112,78226,79895
20160513,114,143,809,1079,80965,82584
20160513,159,188,826,1102,83097,84750
20150820,252,281,852,1136,6600,8304
20150820,202,231,840,1120,8619,10299
20150820,360,389,835,1114,11017,12688
20150820,149,178,1025,1367,13192,15243
20150820,59,88,761,1015,16893,18416
20150820,174,203,886,1181,32955,34727
20150820,283,312,928,1237,35040,36896
20150820,277,306,906,1208,37645,39457
20150820,337,366,862,1149,41449,43173
20150820,151,180,777,1036,43492,45046
20150820,96,125,780,1040,45313,46873
20150820,165,194,825,1100,47246,48896
20150820,117,146,852,1136,49324,51028
20150820,366,395,866,1154,52489,54221
20150820,101,130,784,1045,54535,56103
20150820,117,146,792,1056,56368,57952
20150820,158,187,839,1118,58236,59914
20150820,174,203,850,1134,61285,62986
20150820,113,142,652,869,65431,66735
20150820,263,292,696,928,67159,68552
20150820,167,196,657,876,68898,70212
20150820,24,53,659,878,72431,73749
20150820,93,122,683,911,74130,75497
20170705,78,107,802,1070,4241,5846
20170329,34,63,354,472,355,1064
20170329,30,59,357,476,2025,2739
20170329,111,140,426,568,3089,3942
20170329,19,48,406,542,4087,4900
20170329,41,70,415,554,5089,5920
20170329,75,104,493,657,6306,7292
20170329,47,76,428,571,7388,8245
20170329,34,63,439,585,8423,9301
20170329,70,99,511,681,9393,10415
20170329,23,52,512,683,10594,11619
20170329,47,76,467,623,11845,12780
20170329,177,206,529,705,12888,13946
20170329,468,497,753,1004,20702,22209
20170329,62,91,629,839,22928,24187
20170329,37,66,590,787,24316,25497
20170329,43,72,560,747,25608,26729
20170329,64,93,613,817,27424,28650
20170329,72,101,637,849,28770,30044
20170329,58,87,634,845,30176,31444
20170329,68,97,640,853,32185,33465
20180111,45,74,1087,1450,0,2175
20180111,112,141,1249,1666,2432,4931
20180111,77,106,1061,1414,18536,20658
20160621,63,92,654,872,9252,10561
20160621,86,115,626,834,11317,12569
20160621,59,88,622,830,12727,13972
20160621,65,94,715,954,14288,15719
20160621,80,109,655,873,16644,17954
20160621,70,99,683,910,18137,19503
20160621,62,91,727,969,19641,21095
20160621,83,112,954,1272,23745,25654
20160621,88,117,957,1276,25878,27793
20160621,80,109,801,1068,30424,32026
20160621,142,171,665,887,37195,38526
20160621,45,74,613,818,38956,40183
20160621,187,216,591,788,41678,42861
20160621,146,175,633,844,43381,44647
20160621,137,166,624,832,44862,46111
20171110,127,156,1089,1452,379,2557
20171110,114,143,1088,1451,2835,5012
20171110,131,160,1042,1390,5693,7778
20171110,114,143,853,1138,8019,9726
20171110,172,201,1107,1476,12725,14939
20171110,110,139,1027,1369,15186,17240
20171110,91,120,1103,1470,41846,44052
20171110,116,145,1329,1772,72333,74992
20171110,83,112,1281,1708,75223,77785
20171110,83,112,1215,1620,78050,80480
20171110,181,210,1111,1482,81481,83704
20171122,100,129,823,1098,3296,4943
20171122,113,142,905,1206,12262,14072
20171122,97,126,885,1180,14310,16080
20171122,83,112,807,1076,17240,18854
20171122,160,189,809,1078,31906,33524
20171122,138,167,729,972,58304,59762
20171122,117,146,737,983,59989,61464
20171122,118,147,731,975,61758,63221
20171122,88,117,766,1021,63480,65012
20171122,54,83,751,1002,65311,66814
20171122,110,139,879,1172,67110,68868
20171122,115,144,773,1031,75158,76705
20171122,90,119,768,1024,76929,78465
20171122,83,112,733,978,78703,80170
20171122,86,115,780,1040,82793,84353
20170203,102,131,850,1133,41762,43462
20170203,150,179,788,1050,46554,48130
20170203,65,94,982,1310,53545,55510
20170203,361,390,943,1258,72473,74360
20170203,118,147,980,1306,75390,77350
20150727,345,374,1045,1394,7659,9750
20150727,29,58,747,996,20295,21790
20150727,234,263,923,1231,23224,25071
20150727,19,48,1004,1339,32398,34407
20150727,415,444,1060,1413,37182,39302
20150727,146,175,925,1233,44231,46081
20150727,493,522,1037,1383,54621,56696
20150727,150,179,1018,1358,63184,65221
20150727,270,299,1149,1532,74017,76315
20150727,93,122,1058,1411,76839,78956
20171027,89,118,817,1089,4470,6104
20171027,140,169,931,1241,6351,8213
20171027,65,94,883,1178,8641,10408
20171027,105,134,922,1230,10653,12498
20171027,122,151,908,1210,16401,18217
20171027,217,246,1001,1335,18498,20501
20171027,157,186,978,1304,66318,68274
20171027,95,124,997,1330,72847,74842
20171027,106,135,732,976,75568,77032
20171027,74,103,790,1053,77209,78789
20171027,68,97,724,965,80145,81593
20171027,89,118,779,1039,81781,83340
20160116,51,80,803,1070,75147,76753
20170321,183,212,991,1321,20077,22059
20170321,78,107,828,1104,22344,24001
20170321,115,144,838,1117,43346,45022
20170321,170,199,877,1170,45426,47181
20170321,100,129,912,1216,47398,49223
20170321,112,141,1066,1422,50021,52154
20170321,135,164,1175,1567,52413,54764
20170321,153,182,1156,1542,56383,58696
20170321,99,128,987,1316,58993,60968
20170321,98,127,1691,2255,65254,68637
20170321,77,106,1780,2374,69000,72561
20170321,141,170,2201,2934,73725,78127
20171112,72,101,896,1195,3045,4838
20171112,477,506,1059,1412,9115,11234
20171112,121,150,962,1283,11627,13552
20171112,81,110,771,1028,13796,15339
20171112,76,105,1194,1592,22128,24516
20171112,68,97,1629,2172,29135,32393
20171112,173,202,1169,1558,52297,54635
20171112,131,160,814,1085,57656,59284
20171112,418,447,847,1130,59599,61294
20171112,75,104,1351,1801,65871,68573
20171112,79,108,1157,1543,68781,71096
20171112,65,94,1005,1340,78619,80630
20171112,101,130,981,1308,80971,82933
20171012,142,171,966,1288,48299,50232
20171012,246,275,985,1314,53182,55153
20160716,76,105,1787,2383,2078,5653
20160716,115,144,2102,2803,15810,20015
20160716,151,180,1188,1584,22296,24672
20160716,74,103,1012,1349,24840,26864
20160716,337,366,1059,1412,40246,42365
20160716,290,319,1089,1452,51798,53976
20160716,109,138,957,1276,54129,56044
20160716,141,170,787,1050,62499,64074
20160716,416,445,866,1155,64231,65964
20160716,140,169,981,1308,72530,74493
20160716,125,154,904,1206,74911,76720
20160716,101,130,964,1286,76920,78849
20160716,116,145,826,1102,80007,81660
20160716,94,123,823,1098,81885,83532
20160716,101,130,820,1093,83714,85354
20170717,92,121,752,1003,1002,2507
20170717,119,148,805,1074,3728,5339
20170717,546,575,893,1191,21729,23516
20170717,340,369,804,1072,35154,36762
20170717,109,138,795,1060,42654,44244
20170717,102,131,710,946,52326,53746
20170717,124,153,797,1062,55084,56678
20170717,131,160,796,1062,57002,58595
20170717,94,123,785,1046,80903,82473
20170616,83,112,974,1299,67503,69452
20170302,81,110,410,546,4776,5596
20170302,75,104,716,955,26724,28157
20170302,185,214,676,901,29279,30631
20170302,105,134,855,1140,31294,33004
20170302,101,130,862,1150,33291,35016
20170718,99,128,769,1025,12796,14334
20170718,152,181,784,1046,14902,16471
20170718,64,93,793,1057,19406,20992
20170718,90,119,767,1023,24014,25549
20170718,100,129,737,982,26117,27591
20170718,94,123,822,1096,41531,43175
20170718,86,115,845,1127,48729,50420
20170718,128,157,727,970,73620,75075
20170718,92,121,756,1008,82523,84036
20151226,90,119,1594,2125,68555,71743
20170327,28,57,390,520,192,973
20170327,70,99,507,676,1299,2314
20170327,26,55,641,854,3691,4973
20170327,123,152,446,594,5629,6521
20170327,91,120,439,585,7866,8744
20170327,41,70,455,606,8857,9767
20170327,27,56,402,536,26566,27370
20170327,52,81,324,432,27417,28065
20170327,15,44,379,506,28172,28931
20170327,24,53,312,416,29270,29894
20170327,121,150,674,898,37860,39208
20170812,1075,1104,1202,1603,20046,22451
20170812,152,181,861,1148,24502,26225
20170812,249,278,816,1088,29872,31504
20170812,129,158,802,1070,32402,34007
20170812,132,161,801,1068,68797,70399
20170812,107,136,798,1064,72521,74117
20170812,76,105,786,1048,76698,78271
20170812,75,104,791,1055,79183,80766
20170812,110,139,799,1066,80971,82570
20170812,74,103,829,1105,83023,84681
20170219,102,131,2056,2741,32606,36718
20170219,355,384,1149,1532,52068,54366
20170219,99,128,866,1154,55325,57057
20170219,149,178,997,1329,57905,59899
20170219,97,126,1053,1404,60093,62200
20170219,149,178,1387,1849,67650,70424
20170219,120,149,1155,1540,75808,78118
20170403,117,146,503,670,1294,2300
20170403,123,152,487,650,4486,5461
20170403,66,95,348,464,6127,6823
20170403,50,79,428,570,6965,7821
20170403,45,74,417,556,7966,8801
20170403,96,125,547,730,8972,10067
20170403,126,155,503,670,10511,11517
20170403,119,148,611,815,14276,15499
20170403,53,82,730,973,27631,29091
20170403,86,115,737,983,35317,36792
20170403,60,89,901,1201,44691,46493
20170403,756,785,859,1145,51634,53352
20170403,117,146,830,1107,53878,55539
20170403,346,375,835,1113,55762,57432
20170403,68,97,1054,1405,58067,60175
20170403,113,142,838,1117,60427,62103
20170403,251,280,880,1173,62689,64449
20160806,116,145,1146,1528,1568,3861
20160806,289,318,841,1122,7352,9035
20160806,122,151,948,1264,9677,11573
20160806,46,75,731,975,13050,14513
20160806,66,95,854,1139,14685,16394
20160806,69,98,1088,1450,16594,18770
20160806,107,136,997,1330,19945,21940
20160806,78,107,1005,1340,22110,24120
20160806,112,141,895,1193,24282,26072
20160806,432,461,1131,1508,26324,28587
20160806,91,120,929,1239,34401,36260
20160806,632,661,788,1051,40643,42220
20160806,217,246,776,1034,48211,49763
20160806,85,114,898,1198,49963,51760
20160806,254,283,1218,1624,55457,57894
20160806,119,148,1108,1477,58312,60528
20160806,857,886,1039,1386,60754,62833
20170711,108,137,837,1116,5466,7140
20170711,64,93,1077,1436,25008,27163
20170711,116,145,936,1248,38596,40468
20170711,123,152,859,1145,42197,43915
20170711,92,121,796,1062,53849,55442
20150729,260,289,957,1276,56004,57919
20150729,168,197,919,1225,59697,61535
20150729,255,284,942,1256,61898,63782
20150729,127,156,954,1272,64054,65962
20150729,145,174,901,1201,68996,70798
20170401,95,124,744,992,40868,42356
20170401,104,133,846,1128,42592,44285
20170401,164,193,873,1164,45702,47449
20170401,129,158,846,1128,49603,51296
20170401,140,169,897,1196,51541,53336
20170401,91,120,847,1130,57732,59427
20160205,82,111,993,1324,1502,3489
20160205,67,96,850,1133,3725,5425
20160205,142,171,956,1274,6063,7975
20160205,97,126,1027,1369,8178,10232
20160205,98,127,1031,1375,10440,12503
20160205,347,376,1013,1351,19320,21347
20160205,104,133,827,1102,38599,40253
20160205,150,179,761,1015,64919,66442
20161224,160,189,860,1147,7243,8964
20161224,66,95,1622,2163,10086,13331
20170527,109,138,714,952,38692,40120
20170527,199,228,846,1128,43613,45305
20170527,115,144,841,1122,47593,49276
20170527,112,141,712,950,51915,53340
20170527,144,173,774,1032,55510,57059
20170527,114,143,764,1018,59381,60909
20170527,100,129,732,976,62197,63661
20170527,151,180,780,1040,71426,72986
20150912,103,132,837,1116,5945,7620
20150912,183,212,972,1296,18999,20944
20150912,267,296,1071,1428,24112,26254
20150912,176,205,826,1102,46539,48192
20150912,110,139,915,1220,61820,63651
20150912,102,131,665,887,68268,69599
20150912,125,154,808,1077,74729,76345
20150912,94,123,640,854,80823,82104
20151017,163,192,1017,1356,1107,3141
20151017,25,54,944,1259,4279,6168
20151017,158,187,854,1139,6405,8114
20151017,355,384,889,1185,12479,14257
20151017,230,259,861,1148,14574,16296
20151017,126,155,882,1176,19990,21755
20151017,16,45,1154,1539,23596,25905
20151017,169,198,1024,1366,34492,36541
20151017,89,118,901,1201,39936,41738
20151017,151,180,930,1240,47191,49051
20151017,129,158,828,1104,49354,51010
20151017,85,114,815,1087,51437,53068
20151017,125,154,793,1058,56008,57595
20151017,163,192,945,1260,60097,61988
20151017,256,285,857,1142,69849,71563
20151017,97,126,840,1120,71786,73467
20151017,168,197,954,1272,73793,75702
20151017,353,382,990,1320,76916,78897
20170318,355,384,1887,2516,12526,16300
20170318,162,191,1626,2168,18313,21565
20170318,95,124,1640,2187,38183,41464
20170318,184,213,2132,2843,43170,47435
20170318,153,182,1931,2574,49361,53223
20170318,165,194,1599,2132,59037,62236
20170318,420,449,1256,1674,63508,66020
20170318,88,117,681,908,73810,75172
20170318,70,99,770,1026,75618,77158
20170318,151,180,885,1180,77923,79694
20170318,127,156,836,1114,79918,81590
20170315,84,113,756,1008,2246,3758
20170315,37,66,747,996,3886,5381
20170315,40,69,817,1090,9309,10944
20170315,99,128,750,1000,12273,13773
20170315,132,161,642,856,13993,15277
20170315,128,157,661,881,22057,23379
20170315,77,106,680,906,23601,24961
20170315,103,132,887,1183,47388,49163
20170315,119,148,773,1030,60225,61771
20170315,95,124,784,1046,63678,65247
20160605,57,86,878,1171,30030,31787
20160605,368,397,850,1133,37798,39498
20160605,379,408,888,1184,69420,71197
20160605,94,123,873,1164,75104,76851
20160605,154,183,857,1143,82080,83795
20180119,113,142,1100,1466,36606,38806
20170201,123,152,817,1089,517,2151
20170201,191,220,833,1111,2361,4028
20170201,89,118,857,1142,4355,6069
20170201,126,155,862,1150,11253,12978
20170201,125,154,830,1107,13193,14854
20170201,130,159,864,1152,18040,19769
20170201,89,118,831,1108,20827,22489
20170201,457,486,886,1181,46785,48557
20170201,78,107,920,1226,57062,58902
20170201,67,96,1154,1538,69516,71824
20170201,667,696,1024,1366,76639,78688
20150831,705,734,2148,2864,14798,19094
20150831,79,108,935,1246,69752,71622
20150831,347,376,1311,1748,75645,78268
20171111,82,111,1058,1410,926,3042
20171111,139,168,1047,1396,4013,6108
20171111,83,112,1089,1452,6397,8576
20171111,76,105,1028,1371,8821,10878
20171111,95,124,874,1165,12239,13987
20171111,91,120,944,1258,14211,16099
20171111,89,118,905,1207,16313,18124
20171111,446,475,864,1152,18904,20632
20171111,274,303,791,1055,22091,23674
20171111,73,102,779,1038,23893,25451
20171111,119,148,863,1150,28020,29746
20171111,147,176,934,1246,30169,32038
20171111,121,150,1013,1351,49248,51275
20171111,133,162,872,1163,52863,54608
20171111,119,148,826,1102,54852,56505
20171111,110,139,815,1087,56749,58380
20171111,76,105,746,994,59747,61239
20171111,110,139,772,1029,61588,63132
20171111,225,254,776,1035,63710,65263
20171111,87,116,750,1000,65509,67010
20171111,115,144,837,1116,71571,73246
20171111,90,119,754,1006,76108,77617
20180106,165,194,1459,1946,76749,79668
20171116,81,110,929,1238,1166,3024
20171116,96,125,944,1258,3255,5143
