date,riseStart,riseEnd,stableStart,stableEnd,start,end
20171113,150,179,152.0,156.0,730,2954
20171113,78,107,1445.0,1447.0,15476,17897
20171113,100,129,159.0,234.0,55865,58740
20171113,122,151,143.0,147.0,63723,66224
20171107,86,115,529.0,1114.0,1691,3441
20171107,89,118,1611.0,1615.0,14789,16575
20171107,76,105,150.0,155.0,18806,20936
20171107,2866,2895,2980.0,2982.0,56863,60179
20171107,98,127,157.0,1224.0,62421,64268
20171107,87,116,171.0,173.0,65774,67741
20171107,183,212,994.0,1001.0,69450,71433
20170219,102,131,2655.0,2665.0,32606,36718
20170219,355,384,455.0,495.0,52068,54366
20170219,99,128,135.0,286.0,55325,57057
20170219,149,178,1816.0,1818.0,57905,59899
20170219,97,126,119.0,121.0,60093,62200
20170219,149,178,815.0,2367.0,67650,70424
20170219,120,149,635.0,637.0,75808,78118
20170225,98,127,1875.0,2054.0,3840,6105
20170225,106,135,2183.0,2208.0,6619,9024
20170225,211,240,1665.0,1673.0,10654,12740
20170225,129,158,1366.0,1591.0,13214,15049
20170225,255,284,941.0,946.0,15448,17288
20170225,85,114,420.0,429.0,18383,20120
20170225,165,194,278.0,830.0,20415,22109
20170225,94,123,264.0,285.0,49944,52043
20170225,1299,1328,2091.0,2095.0,52638,54902
20170225,100,129,101.0,188.0,55083,56782
20170225,144,173,203.0,465.0,59757,61426
20170225,136,165,223.0,233.0,76869,78500
20170225,116,145,447.0,1272.0,81330,82958
